Fecha,Conductividad,Carga motor M14,Carga motor M15,Presion 26,Presion 25,Temperatura 15,Temperatura 14,Estado
2006-11-06 20:00:00,3.9,64.3481907,31.8207529,20.8371294,20.5,78.3572928,103.4780384,0.0
2006-11-06 22:00:00,3.9,58.5333527,31.7656448,20.9110525,20.5,78.3479974,103.5612547,0.0
2006-11-07 00:00:00,3.8,63.589336,32.1895736,20.7993248,20.5,77.5067425,103.3268422,0.0
2006-11-07 02:00:00,3.6,64.0890349,31.9859528,20.8013791,20.5,77.2134084,103.6711787,0.0
2006-11-07 04:00:00,3.7,60.7360396,31.8740641,20.8458669,20.4,76.2878698,103.5801728,0.0
2006-11-07 06:00:00,3.7,58.5560877,31.6880131,20.9888724,20.4,75.64049,103.4571632,0.0
2006-11-07 08:00:00,3.8,58.5771677,31.3555587,20.9732274,20.5,75.726123,103.0745649,0.0
2006-11-07 10:00:00,3.8,61.3053762,31.3988941,20.8553937,20.8,76.2574809,103.4512374,0.0
2006-11-07 12:00:00,3.8,57.7520971,31.2078889,20.8751887,20.5,77.2113648,103.5206752,0.0
2006-11-07 14:00:00,3.7,58.9092928,31.3279965,20.3817499,20.5,78.1832625,103.4105891,0.0
2006-11-07 16:00:00,3.7,57.3153109,32.5480249,20.195435,20.5,75.5341965,104.7127491,0.0
2006-11-07 18:00:00,3.8,51.401089,31.3719745,20.7084777,21.0,72.6683736,102.109519,0.0
2006-11-07 20:00:00,3.8,51.3991905,30.2426247,20.7395207,20.6,72.8015753,103.5593743,0.0
2006-11-07 22:00:00,3.7,52.7722205,30.1627109,20.6990715,20.5,72.6712738,103.4988657,0.0
2006-11-08 00:00:00,3.8,60.1159184,30.7996616,21.168784,20.5,75.4803079,103.5051252,0.0
2006-11-08 02:00:00,3.7,56.8652043,32.2116008,21.3346481,21.0,75.8980395,103.3086735,0.0
2006-11-08 04:00:00,3.7,59.0751315,31.9199619,21.4957792,21.1,74.7897486,102.6124532,0.0
2006-11-08 06:00:00,3.7,55.7163141,31.763268,21.4558016,20.9,74.2328923,102.9774691,0.0
2006-11-08 08:00:00,3.7,58.7098284,30.9793248,21.4437112,21.1,74.497408,103.1294715,0.0
2006-11-08 10:00:00,3.8,62.4433816,30.7078783,21.3210898,21.1,75.4424702,103.3459175,0.0
2006-11-08 12:00:00,3.7,63.7739137,30.8117519,21.0153564,21.0,76.9259674,103.4575555,0.0
2006-11-08 14:00:00,3.7,61.4538782,31.1490563,20.9901821,21.1,77.5543208,103.0988038,0.0
2006-11-08 16:00:00,3.7,62.1061244,32.5871746,20.1913239,20.2,77.9240493,103.1439895,0.0
2006-11-08 18:00:00,3.8,65.8251166,33.7131164,20.3150867,20.7,77.0786655,103.3842638,0.0
2006-11-08 20:00:00,3.9,59.5397973,33.7816958,20.3864322,20.3,74.821875,103.217376,0.0
2006-11-08 22:00:00,3.9,57.9894382,33.9598406,20.7511118,20.2,74.6916193,103.0620011,0.0
2006-11-09 00:00:00,3.9,60.4415135,33.9189891,20.6681741,20.3,76.6093605,104.1152858,0.0
2006-11-09 02:00:00,4.1,61.6209884,33.8365196,20.7323005,20.7,75.9348945,103.6424194,0.0
2006-11-09 04:00:00,3.9,64.797234,33.8327795,20.8773593,20.6,77.5678691,102.0998987,0.0
2006-11-09 06:00:00,3.9,60.7187664,34.3235139,21.1816325,20.5,77.0920454,102.1826549,0.0
2006-11-09 08:00:00,3.8,58.2958603,34.2999333,20.9961823,20.6,75.9791176,103.0863674,0.0
2006-11-09 10:00:00,3.8,61.7369844,34.3294773,20.6563953,20.7,77.3418705,103.5283699,0.0
2006-11-09 12:00:00,3.8,62.4819458,34.1799754,20.403267,20.4,77.857025,103.1945181,0.0
2006-11-09 14:00:00,3.8,60.9945371,34.4777552,20.6111347,20.6,78.3803248,103.2986638,0.0
2006-11-09 16:00:00,3.8,58.9941563,34.4133855,20.468458,20.5,78.4537967,103.4238337,0.0
2006-11-09 18:00:00,3.7,62.6817005,34.7231072,20.4560901,20.5,78.5157419,103.1368624,0.0
2006-11-09 20:00:00,3.7,60.3337945,34.4513827,20.4847948,20.4,78.2294431,104.9634485,0.0
2006-11-09 22:00:00,3.4,54.4178767,32.1490612,20.4977023,20.6,72.5812124,102.2111067,0.0
2006-11-10 00:00:00,3.9,59.1268265,32.3467134,20.626894,20.5,73.668554,103.9374801,0.0
2006-11-10 02:00:00,3.8,60.9269171,33.437565,21.1773006,20.4,75.6452167,106.0250274,0.0
2006-11-10 04:00:00,3.7,58.0830336,33.586659,20.4735164,20.5,76.3837018,102.575311,0.0
2006-11-10 06:00:00,3.7,59.6902427,33.1034935,20.5534544,20.6,74.591512,100.857144,0.0
2006-11-10 08:00:00,3.8,54.9096733,33.32384,20.5028337,20.5,74.6350762,103.1616449,0.0
2006-11-10 10:00:00,3.8,55.4766914,33.4148671,20.3949002,20.7,74.5585589,103.7817335,0.0
2006-11-10 12:00:00,3.9,61.7245742,34.0338295,20.3966246,20.5,74.1760227,103.4565815,0.0
2006-11-10 14:00:00,4.0,50.8136235,33.748084,20.2870134,20.5,74.2752284,103.5534071,0.0
2006-11-10 16:00:00,4.2,55.9178733,33.8638638,20.2869738,20.3,74.2972715,103.5015291,0.0
2006-11-10 18:00:00,4.4,56.6765717,33.8062663,20.4336236,20.5,74.9588942,103.3776602,0.0
